Ticker
NVDA
AAPL
MSFT
AVGO
AMZN
GOOG
GOOGL
TSLA
META
NFLX
COST
AMD
PLTR
CSCO
MU
TMUS
ISRG
LIN
PEP
LRCX
QCOM
INTU
AMGN
SHOP
AMAT
APP
BKNG
INTC
GILD
KLAC
TXN
ADBE
PANW
CRWD
HON
ADI
VRTX
CEG
ADP
CMCSA
MELI
SBUX
PDD
ASML
CDNS
ORLY
DASH
MAR
CTAS
MRVL
MDLZ
SNPS
REGN
MNST
AEP
CSX
ADSK
TRI
PYPL
FTNT
DDOG
IDXX
MSTR
WBD
ROST
AZN
ABNB
NXPI
PCAR
EA
WDAY
ROP
ZS
XEL
BKR
FAST
EXC
TTWO
AXON
FANG
CPRT
PAYX
KDP
CTSH
GEHC
VRSK
MCHP
KHC
CSGP
ODFL
CHTR
TEAM
BIIB
DXCM
ON
LULU
CDW
TTD
ARM
GFS
